Case ID,Activity,Complete Timestamp
173688,O_SELECTED,2011/10/1 17:45
173688,O_CREATED,2011/10/1 17:45
173688,O_SENT,2011/10/1 17:45
173688,O_SENT,2011/10/1 17:45
173688,O_SENT_BACK,2011/10/10 17:33
173688,O_SENT_BACK,2011/10/10 17:33
173688,O_ACCEPTED,2011/10/13 16:37
173691,O_SELECTED,2011/10/1 20:35
173691,O_CREATED,2011/10/1 20:35
173691,O_SENT,2011/10/1 20:35
173691,O_SENT,2011/10/1 20:35
173691,O_SELECTED,2011/10/3 22:56
173691,O_CANCELLED,2011/10/3 22:56
173691,O_CREATED,2011/10/3 22:56
173691,O_SENT,2011/10/3 22:56
173691,O_SENT,2011/10/3 22:56
173691,O_SENT_BACK,2011/10/10 16:14
173691,O_SENT_BACK,2011/10/10 16:14
173691,O_ACCEPTED,2011/10/10 20:17
173694,O_SELECTED,2011/10/3 19:40
173694,O_CREATED,2011/10/3 19:40
173694,O_SENT,2011/10/3 19:40
173694,O_SENT,2011/10/3 19:40
173694,O_SELECTED,2011/10/3 19:44
173694,O_CANCELLED,2011/10/3 19:44
173694,O_CREATED,2011/10/3 19:44
173694,O_SENT,2011/10/3 19:44
173694,O_SENT,2011/10/3 19:44
173694,O_SELECTED,2011/10/18 1:43
173694,O_CANCELLED,2011/10/18 1:43
173694,O_CREATED,2011/10/18 1:43
173694,O_SENT,2011/10/18 1:43
173694,O_SENT,2011/10/18 1:43
173694,O_SENT_BACK,2011/11/2 16:15
173694,O_SENT_BACK,2011/11/2 16:15
173694,O_ACCEPTED,2011/11/4 23:04
173715,O_SELECTED,2011/10/1 18:30
173715,O_CREATED,2011/10/1 18:30
173715,O_SENT,2011/10/1 18:30
173715,O_SENT,2011/10/1 18:30
173715,O_SENT_BACK,2011/10/10 18:54
173715,O_SENT_BACK,2011/10/10 18:54
173715,O_DECLINED,2011/10/13 17:05
173718,O_SELECTED,2011/10/1 16:44
173718,O_CREATED,2011/10/1 16:44
173718,O_SENT,2011/10/1 16:44
173718,O_SENT,2011/10/1 16:44
173718,O_SELECTED,2011/10/1 16:46
173718,O_CANCELLED,2011/10/1 16:46
173718,O_CREATED,2011/10/1 16:46
173718,O_SENT,2011/10/1 16:46
173718,O_SENT,2011/10/1 16:46
173718,O_SENT_BACK,2011/10/10 16:55
173718,O_SENT_BACK,2011/10/10 16:55
173718,O_ACCEPTED,2011/10/27 15:17
173721,O_SELECTED,2011/10/1 17:20
173721,O_CREATED,2011/10/1 17:20
173721,O_SENT,2011/10/1 17:20
173721,O_SENT,2011/10/1 17:20
173721,O_SENT_BACK,2011/10/6 15:49
173721,O_SENT_BACK,2011/10/6 15:49
173721,O_DECLINED,2011/10/10 22:28
173730,O_SELECTED,2011/10/1 21:40
173730,O_CREATED,2011/10/1 21:40
173730,O_SENT,2011/10/1 21:40
173730,O_SENT,2011/10/1 21:40
173730,O_SENT_BACK,2011/10/14 16:21
173730,O_SENT_BACK,2011/10/14 16:21
173730,O_ACCEPTED,2011/10/21 15:08
173736,O_SELECTED,2011/10/1 22:05
173736,O_CREATED,2011/10/1 22:05
173736,O_SENT,2011/10/1 22:05
173736,O_SENT,2011/10/1 22:05
173736,O_SELECTED,2011/10/4 18:59
173736,O_CANCELLED,2011/10/4 18:59
173736,O_CREATED,2011/10/4 18:59
173736,O_SENT,2011/10/4 18:59
173736,O_SENT,2011/10/4 18:59
173736,O_SENT_BACK,2011/10/10 19:33
173736,O_SENT_BACK,2011/10/10 19:33
173736,O_SELECTED,2011/10/13 17:36
173736,O_CANCELLED,2011/10/13 17:36
173736,O_CREATED,2011/10/13 17:36
173736,O_SENT,2011/10/13 17:36
173736,O_SENT,2011/10/13 17:36
173736,O_SENT_BACK,2011/10/18 16:20
173736,O_SENT_BACK,2011/10/18 16:20
173736,O_ACCEPTED,2011/10/18 18:01
173739,O_SELECTED,2011/10/1 21:56
173739,O_CREATED,2011/10/1 21:56
173739,O_SENT,2011/10/1 21:56
173739,O_SENT,2011/10/1 21:56
173739,O_SENT_BACK,2011/10/11 16:19
173739,O_SENT_BACK,2011/10/11 16:19
173739,O_ACCEPTED,2011/10/14 22:22
173745,O_SELECTED,2011/10/1 21:58
173745,O_CREATED,2011/10/1 21:58
173745,O_SENT,2011/10/1 21:58
173745,O_SENT,2011/10/1 21:58
173745,O_CANCELLED,2011/10/8 18:45
173748,O_SELECTED,2011/10/1 22:36
173748,O_CREATED,2011/10/1 22:37
173748,O_SENT,2011/10/1 22:37
173748,O_SENT,2011/10/1 22:37
173748,O_CANCELLED,2011/10/1 22:42
173748,O_SELECTED,2011/10/1 22:42
173748,O_CREATED,2011/10/1 22:42
173748,O_SENT,2011/10/1 22:42
173748,O_SENT,2011/10/1 22:42
173748,O_DECLINED,2011/10/3 22:44
173751,O_SELECTED,2011/10/1 22:49
173751,O_CREATED,2011/10/1 22:50
173751,O_SENT,2011/10/1 22:50
173751,O_SENT,2011/10/1 22:50
173751,O_SENT_BACK,2011/10/7 18:40
173751,O_SENT_BACK,2011/10/7 18:40
173751,O_ACCEPTED,2011/10/11 16:39
173760,O_SELECTED,2011/10/1 22:01
173760,O_CREATED,2011/10/1 22:01
173760,O_SENT,2011/10/1 22:01
173760,O_SENT,2011/10/1 22:01
173760,O_SENT_BACK,2011/10/11 17:01
173760,O_SENT_BACK,2011/10/11 17:01
173760,O_ACCEPTED,2011/10/14 21:41
173784,O_SELECTED,2011/10/4 23:37
173784,O_CREATED,2011/10/4 23:37
173784,O_SENT,2011/10/4 23:37
173784,O_SENT,2011/10/4 23:37
173784,O_SENT_BACK,2011/10/17 17:29
173784,O_SENT_BACK,2011/10/17 17:29
173784,O_ACCEPTED,2011/11/15 19:50
173787,O_SELECTED,2011/10/3 15:31
173787,O_CREATED,2011/10/3 15:31
173787,O_SENT,2011/10/3 15:31
173787,O_SENT,2011/10/3 15:31
173787,O_CANCELLED,2011/10/3 15:36
173787,O_SELECTED,2011/10/3 15:36
173787,O_CREATED,2011/10/3 15:36
173787,O_SENT,2011/10/3 15:36
173787,O_SENT,2011/10/3 15:36
173787,O_CANCELLED,2011/10/20 0:51
173790,O_SELECTED,2011/10/3 15:26
173790,O_CREATED,2011/10/3 15:26
173790,O_SENT,2011/10/3 15:26
173790,O_SENT,2011/10/3 15:26
173790,O_SENT_BACK,2011/10/7 18:37
173790,O_SENT_BACK,2011/10/7 18:37
173790,O_ACCEPTED,2011/10/10 20:22
173793,O_SELECTED,2011/10/3 20:53
173793,O_CREATED,2011/10/3 20:53
173793,O_SENT,2011/10/3 20:53
173793,O_SENT,2011/10/3 20:53
173793,O_SENT_BACK,2011/10/14 16:08
173793,O_SENT_BACK,2011/10/14 16:08
173793,O_ACCEPTED,2011/10/18 17:25
173796,O_SELECTED,2011/10/3 17:15
173796,O_CREATED,2011/10/3 17:16
173796,O_SENT,2011/10/3 17:16
173796,O_SENT,2011/10/3 17:16
173796,O_CANCELLED,2011/10/10 23:23
173805,O_SELECTED,2011/10/3 15:53
173805,O_CREATED,2011/10/3 15:53
173805,O_SENT,2011/10/3 15:53
173805,O_SENT,2011/10/3 15:53
173805,O_CANCELLED,2011/11/3 16:15
173811,O_SELECTED,2011/10/3 17:47
173811,O_CREATED,2011/10/3 17:47
173811,O_SENT,2011/10/3 17:47
173811,O_SENT,2011/10/3 17:47
173811,O_CANCELLED,2011/11/3 16:15
173817,O_SELECTED,2011/10/3 15:52
173817,O_CREATED,2011/10/3 15:52
173817,O_SENT,2011/10/3 15:52
173817,O_SENT,2011/10/3 15:52
173817,O_CANCELLED,2011/10/3 15:53
173817,O_SELECTED,2011/10/3 15:53
173817,O_CREATED,2011/10/3 15:53
173817,O_SENT,2011/10/3 15:53
173817,O_SENT,2011/10/3 15:53
173817,O_SENT_BACK,2011/10/7 19:23
173817,O_SENT_BACK,2011/10/7 19:23
173817,O_DECLINED,2011/10/11 15:15
173823,O_SELECTED,2011/10/3 15:57
173823,O_CREATED,2011/10/3 15:57
173823,O_SENT,2011/10/3 15:57
173823,O_SENT,2011/10/3 15:57
173823,O_SENT_BACK,2011/10/10 20:01
173823,O_SENT_BACK,2011/10/10 20:01
173823,O_DECLINED,2011/10/13 15:36
173835,O_SELECTED,2011/10/3 16:35
173835,O_CREATED,2011/10/3 16:36
173835,O_SENT,2011/10/3 16:36
173835,O_SENT,2011/10/3 16:36
173835,O_CANCELLED,2011/10/18 20:12
173844,O_SELECTED,2011/10/3 19:19
173844,O_CREATED,2011/10/3 19:19
173844,O_SENT,2011/10/3 19:19
